id,hotelId,receiptId,bookingType,bookingId,type,planId,facilityTypeId,paymentRoomBookingItemId,amount,paymentMethodId,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,paymentMethod
202457,3,64571,'room_booking_item',70080,'payment',None,None,None,6400,27,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23436990,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
202458,3,64572,'room_booking_item',70081,'receipt',None,None,None,8100,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23437400,None
202459,3,64573,'room_booking_item',70082,'receipt',None,None,None,7439,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23438060,None
202460,3,64573,'room_booking_item',70082,'receipt',None,None,None,7590,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23438061,None
202461,3,64573,'room_booking_item',70082,'receipt',None,None,None,5336,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23438062,None
202462,3,64573,'room_booking_item',70082,'payment',None,None,None,20365,27,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23438063,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
202463,3,64574,'room_booking_item',70083,'receipt',None,None,None,12100,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23440836,None
202464,3,64574,'room_booking_item',70083,'payment',None,None,None,12100,27,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23440837,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
202465,3,64575,'room_booking_item',70084,'receipt',None,None,None,7400,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23441378,None
202466,3,64575,'room_booking_item',70084,'payment',None,None,None,7400,27,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23441380,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
202467,3,64575,'room_booking_item',70085,'receipt',None,None,None,7400,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23441379,None
202468,3,64575,'room_booking_item',70085,'payment',None,None,None,7400,27,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23441381,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
202469,3,64576,'room_booking_item',70086,'receipt',None,None,None,12100,None,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23441591,None
202470,3,64576,'room_booking_item',70086,'payment',None,None,None,11495,27,'2023-02-28 10:17:31.174585+09:00','2023-02-28 10:17:31.174585+09:00',None,None,None,None,23441592,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201218,3,64175,'room_booking_item',69659,'receipt',None,None,None,8000,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23049262,None
201219,3,64175,'room_booking_item',69659,'payment',None,None,None,8000,27,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23049263,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201220,3,64176,'room_booking_item',69660,'receipt',None,None,None,6500,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23050556,None
