id,hotelId,quantity,childrenTypeId,roomBookingItemId,childrenType,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
1875,3,0,23,70515,'{'id': 23, 'name': '子供B', 'priceType': 'fixed', 'priceValue': 0, 'inntoDataId': 16067}','2023-02-28 10:20:01.457419+09:00','2023-02-28 10:20:01.457419+09:00',None,None,None,None,None
1876,3,0,24,70515,'{'id': 24, 'name': '子供C', 'priceType': 'fixed', 'priceValue': 0, 'inntoDataId': 16068}','2023-02-28 10:20:01.457419+09:00','2023-02-28 10:20:01.457419+09:00',None,None,None,None,None
1877,3,0,25,70515,'{'id': 25, 'name': '子供D', 'priceType': 'fixed', 'priceValue': 0, 'inntoDataId': 16069}','2023-02-28 10:20:01.457419+09:00','2023-02-28 10:20:01.457419+09:00',None,None,None,None,None
1878,3,0,35,70515,'{'id': 35, 'name': '子供E', 'priceType': 'fixed', 'priceValue': 0, 'inntoDataId': 16070}','2023-02-28 10:20:01.457419+09:00','2023-02-28 10:20:01.457419+09:00',None,None,None,None,None
1879,3,0,36,70515,'{'id': 36, 'name': '子供F', 'priceType': 'fixed', 'priceValue': 0, 'inntoDataId': 16071}','2023-02-28 10:20:01.457419+09:00','2023-02-28 10:20:01.457419+09:00',None,None,None,None,None
1880,3,0,37,70515,'{'id': 37, 'name': '子供その他', 'priceType': 'fixed', 'priceValue': 0, 'inntoDataId': 16072}','2023-02-28 10:20:01.457419+09:00','2023-02-28 10:20:01.457419+09:00',None,None,None,None,None
1881,3,1,25,70519,'{'id': 25, 'name': '子供D', 'priceType': 'fixed', 'priceValue': 0, 'inntoDataId': 16069}','2023-02-28 10:20:01.457419+09:00','2023-02-28 10:20:01.457419+09:00',None,None,None,None,None
1882,3,1,25,70607,'{'id': 25, 'name': '子供D', 'priceType': 'fixed', 'priceValue': 0, 'inntoDataId': 16069}','2023-02-28 10:20:29.357245+09:00','2023-02-28 10:20:29.357245+09:00',None,None,None,None,None
1883,3,0,22,70624,'{'id': 22, 'name': '子供A', 'priceType': 'fixed', 'priceValue': 0, 'inntoDataId': 16066}','2023-02-28 10:20:34.782356+09:00','2023-02-28 10:20:34.782356+09:00',None,None,None,None,None
1884,3,0,23,70624,'{'id': 23, 'name': '子供B', 'priceType': 'fixed', 'priceValue': 0, 'inntoDataId': 16067}','2023-02-28 10:20:34.782356+09:00','2023-02-28 10:20:34.782356+09:00',None,None,None,None,None
1885,3,0,24,70624,'{'id': 24, 'name': '子供C', 'priceType': 'fixed', 'priceValue': 0, 'inntoDataId': 16068}','2023-02-28 10:20:34.782356+09:00','2023-02-28 10:20:34.782356+09:00',None,None,None,None,None
1886,3,0,25,70624,'{'id': 25, 'name': '子供D', 'priceType': 'fixed', 'priceValue': 0, 'inntoDataId': 16069}','2023-02-28 10:20:34.782356+09:00','2023-02-28 10:20:34.782356+09:00',None,None,None,None,None
1887,3,0,35,70624,'{'id': 35, 'name': '子供E', 'priceType': 'fixed', 'priceValue': 0, 'inntoDataId': 16070}','2023-02-28 10:20:34.782356+09:00','2023-02-28 10:20:34.782356+09:00',None,None,None,None,None
1888,3,0,36,70624,'{'id': 36, 'name': '子供F', 'priceType': 'fixed', 'priceValue': 0, 'inntoDataId': 16071}','2023-02-28 10:20:34.782356+09:00','2023-02-28 10:20:34.782356+09:00',None,None,None,None,None
1889,3,0,37,70624,'{'id': 37, 'name': '子供その他', 'priceType': 'fixed', 'priceValue': 0, 'inntoDataId': 16072}','2023-02-28 10:20:34.782356+09:00','2023-02-28 10:20:34.782356+09:00',None,None,None,None,None
1890,3,0,22,70630,'{'id': 22, 'name': '子供A', 'priceType': 'fixed', 'priceValue': 0, 'inntoDataId': 16066}','2023-02-28 10:20:40.218018+09:00','2023-02-28 10:20:40.218018+09:00',None,None,None,None,None
