id,hotelId,receiptItemId,planSaleItemId,facilityTypeSaleItemId,saleItemId,saleItem,unitPrice,quantity,amount,type,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,boughtAt,payAt,taxId,tax,childrenTypeId,childrenType
208299,3,201221,None,None,None,None,6500,1,6500,'stay_price','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,'2022-11-01 00:00:00+09:00',None,None,None,None,None
208300,3,201222,None,None,None,None,None,None,13000,'payment','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,None,'2022-11-02 00:00:00+09:00',None,None,None,None
208301,3,201223,None,None,None,None,4000,2,8000,'stay_price','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,'2022-11-19 00:00:00+09:00',None,None,None,None,None
208302,3,201224,None,None,None,None,None,None,8000,'payment','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,None,'2022-11-20 00:00:00+09:00',None,None,None,None
208303,3,201225,None,None,None,None,3950,2,7900,'stay_price','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,'2022-12-17 00:00:00+09:00',None,None,None,None,None
208304,3,201226,None,None,None,None,None,None,7900,'payment','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,None,'2022-12-18 00:00:00+09:00',None,None,None,None
208305,3,201227,None,None,None,None,7500,1,7500,'stay_price','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,'2022-11-26 00:00:00+09:00',None,None,None,None,None
208306,3,201228,None,None,None,None,None,None,7500,'payment','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,None,'2022-11-27 00:00:00+09:00',None,None,None,None
208307,3,201229,None,None,None,None,3100,2,6200,'stay_price','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,'2022-11-26 00:00:00+09:00',None,None,None,None,None
208308,3,201230,None,None,None,None,None,None,6200,'payment','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,None,'2022-11-27 00:00:00+09:00',None,None,None,None
208309,3,201231,None,None,None,None,6400,1,6400,'stay_price','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,'2022-10-27 00:00:00+09:00',None,None,None,None,None
208310,3,201232,None,None,None,None,None,None,6400,'payment','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,None,'2022-10-28 00:00:00+09:00',None,None,None,None
208311,3,201233,None,None,None,None,3950,2,7900,'stay_price','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,None,'2022-11-05 00:00:00+09:00',None,None,None,None,None
