id,stoppingInventoryId,hotelId,roomId,facilityId,reason,memo,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
165,75,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:04:11.191450+09:00','2023-03-01 13:04:14.249250+09:00','2023-03-01 13:04:14.249250+09:00',None,None,None,None
166,75,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:04:11.191450+09:00','2023-03-01 13:04:14.249250+09:00','2023-03-01 13:04:14.249250+09:00',None,None,None,None
167,75,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 12:04:11.191450+09:00','2023-03-01 13:04:14.249250+09:00','2023-03-01 13:04:14.249250+09:00',None,None,None,None
185,81,3,297,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:02:00.739739+09:00','2023-03-01 13:08:01.332595+09:00','2023-03-01 13:08:01.332595+09:00',None,None,None,None
186,81,3,299,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:02:00.739739+09:00','2023-03-01 13:08:01.332595+09:00','2023-03-01 13:08:01.332595+09:00',None,None,None,None
187,81,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:02:00.739739+09:00','2023-03-01 13:08:01.332595+09:00','2023-03-01 13:08:01.332595+09:00',None,None,None,None
188,82,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:04:14.249250+09:00','2023-03-01 13:08:01.332595+09:00','2023-03-01 13:08:01.332595+09:00',None,None,None,None
189,82,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:04:14.249250+09:00','2023-03-01 13:08:01.332595+09:00','2023-03-01 13:08:01.332595+09:00',None,None,None,None
190,82,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:04:14.249250+09:00','2023-03-01 13:08:01.332595+09:00','2023-03-01 13:08:01.332595+09:00',None,None,None,None
191,82,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:04:14.249250+09:00','2023-03-01 13:08:01.332595+09:00','2023-03-01 13:08:01.332595+09:00',None,None,None,None
192,83,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:08:01.332595+09:00','2023-03-01 13:08:15.977395+09:00','2023-03-01 13:08:15.977395+09:00',None,None,None,None
193,83,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:08:01.332595+09:00','2023-03-01 13:08:15.977395+09:00','2023-03-01 13:08:15.977395+09:00',None,None,None,None
194,83,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:08:01.332595+09:00','2023-03-01 13:08:15.977395+09:00','2023-03-01 13:08:15.977395+09:00',None,None,None,None
195,83,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:08:01.332595+09:00','2023-03-01 13:08:15.977395+09:00','2023-03-01 13:08:15.977395+09:00',None,None,None,None
196,84,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:08:15.977395+09:00','2023-03-01 13:09:08.591149+09:00','2023-03-01 13:09:08.591149+09:00',None,None,None,None
197,84,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:08:15.977395+09:00','2023-03-01 13:09:08.591149+09:00','2023-03-01 13:09:08.591149+09:00',None,None,None,None
198,84,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:08:15.977395+09:00','2023-03-01 13:09:08.591149+09:00','2023-03-01 13:09:08.591149+09:00',None,None,None,None
199,85,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:08:15.977395+09:00','2023-03-01 13:09:08.591149+09:00','2023-03-01 13:09:08.591149+09:00',None,None,None,None
200,85,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:08:15.977395+09:00','2023-03-01 13:09:08.591149+09:00','2023-03-01 13:09:08.591149+09:00',None,None,None,None
201,85,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:08:15.977395+09:00','2023-03-01 13:09:08.591149+09:00','2023-03-01 13:09:08.591149+09:00',None,None,None,None
202,85,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:08:15.977395+09:00','2023-03-01 13:09:08.591149+09:00','2023-03-01 13:09:08.591149+09:00',None,None,None,None
203,86,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:09:08.591149+09:00','2023-03-01 13:09:26.565068+09:00','2023-03-01 13:09:26.565068+09:00',None,None,None,None
204,86,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:09:08.591149+09:00','2023-03-01 13:09:26.565068+09:00','2023-03-01 13:09:26.565068+09:00',None,None,None,None
205,86,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:09:08.591149+09:00','2023-03-01 13:09:26.565068+09:00','2023-03-01 13:09:26.565068+09:00',None,None,None,None
206,86,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:09:08.591149+09:00','2023-03-01 13:09:26.565068+09:00','2023-03-01 13:09:26.565068+09:00',None,None,None,None
207,87,3,297,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:09:26.565068+09:00','2023-03-01 13:13:20.047612+09:00','2023-03-01 13:13:20.047612+09:00',None,None,None,None
208,87,3,299,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:09:26.565068+09:00','2023-03-01 13:13:20.047612+09:00','2023-03-01 13:13:20.047612+09:00',None,None,None,None
209,87,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:09:26.565068+09:00','2023-03-01 13:13:20.047612+09:00','2023-03-01 13:13:20.047612+09:00',None,None,None,None
210,88,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:09:26.565068+09:00','2023-03-01 13:13:41.365343+09:00','2023-03-01 13:13:41.365343+09:00',None,None,None,None
211,88,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:09:26.565068+09:00','2023-03-01 13:13:41.365343+09:00','2023-03-01 13:13:41.365343+09:00',None,None,None,None
212,88,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:09:26.565068+09:00','2023-03-01 13:13:41.365343+09:00','2023-03-01 13:13:41.365343+09:00',None,None,None,None
213,88,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:09:26.565068+09:00','2023-03-01 13:13:41.365343+09:00','2023-03-01 13:13:41.365343+09:00',None,None,None,None
214,89,3,300,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:13:41.365343+09:00','2023-03-01 13:13:41.365343+09:00',None,None,None,None,None
215,89,3,327,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:13:41.365343+09:00','2023-03-01 13:13:41.365343+09:00',None,None,None,None,None
216,89,3,340,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:13:41.365343+09:00','2023-03-01 13:13:41.365343+09:00',None,None,None,None,None
217,89,3,350,None,'INVENTORY_ADJUSTMENT',None,'2023-03-01 13:13:41.365343+09:00','2023-03-01 13:13:41.365343+09:00',None,None,None,None,None
