id,hotelId,marketingChannelId,representativeGuestId,isReserverTheRepresentative,reserverGuestId,isMultiReservation,memo,isDailyClosing,isMonthlyClosing,otaReservationName,roomTypeGroupCode,planGroupCode,otaPlanCode,otaRoomTypeCode,otaReservationNumber,isNoLinkageSetting,tllDataId,autoGeneratedCode,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,isHaveErrorPrice
64174,3,90,48475,True,48475,True,'uwfd',False,False,None,None,None,None,None,'RYa0ffp5uw@0000000061',False,None,'0003000050','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5907494,False
64175,3,90,49451,True,49451,True,'AmAq',False,False,None,None,None,None,None,'RYa0ffp796@0000000061',False,None,'0003000051','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5907652,False
64176,3,90,47976,True,47976,True,'vymn',False,False,None,None,None,None,None,'RYa0ffp84j@0000000061',False,None,'0003000052','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5907653,False
64177,3,90,48945,True,48945,True,'wfZi',False,False,None,None,None,None,None,'RYa0ffp8gw@0000000061',False,None,'0003000053','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5907793,False
64178,3,90,48222,True,48222,True,'kwhw',False,False,None,None,None,None,None,'RYa0ffpe1d@0000000061',False,None,'0003000054','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5908008,False
64179,3,94,47463,True,47463,True,'tmql',False,False,None,None,None,None,None,'2030905243@0000000047',False,None,'0003000055','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5909137,False
64180,3,90,49140,True,49140,True,'peqx',False,False,None,None,None,None,None,'RYa0ffpvbe@0000000061',False,None,'0003000056','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5909475,False
64181,3,93,46327,True,46327,True,'tf q',False,False,None,None,None,None,None,'3590465016@0000000030',False,None,'0003000057','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5910329,False
64182,3,90,48591,True,48591,True,'opwt',False,False,None,None,None,None,None,'RYa0ffra6e@0000000061',False,None,'0003000058','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5910481,False
64183,3,92,50833,True,50833,True,'xhuc',False,False,None,None,None,None,None,'IY0819433334@0000000080',False,None,'0003000059','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5910779,False
64184,3,94,46202,True,46202,True,'xfdu',False,False,None,None,None,None,None,'2031042226@0000000047',False,None,'0003000060','2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,5911028,False
