id,hotelId,representativeGuestId,roomBookingId,code,startDateOfStay,endDateOfStay,isDayUse,checkInTime,checkOutTime,memo,roomId,roomTypeId,planId,plan,planRoomTypeId,pricingSettings,numberOfAdults,price,bookingStatus,isRepresentativeRoom,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
69663,3,48475,64174,None,'2022-11-26 00:00:00+09:00','2022-11-27 00:00:00+09:00',False,'16:00','11:00',None,None,25,None,'{'name': '【素泊】スペシャル'}',None,'[{'date': '2022-11-25T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 7500}}]',1,None,'cancelled',False,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,6706779
69664,3,49451,64175,None,'2022-11-26 00:00:00+09:00','2022-11-27 00:00:00+09:00',False,'19:00','11:00',None,322,23,None,'{'name': '【素泊】スペシャル'}',None,'[{'date': '2022-11-25T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 6200}}]',2,None,'checked_out',False,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,6706940
69665,3,47976,64176,None,'2022-10-27 00:00:00+09:00','2022-10-28 00:00:00+09:00',False,'20:00','11:00',None,None,23,None,'{'name': '【素泊】スペシャル'}',None,'[{'date': '2022-10-26T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 6400}}]',1,None,'cancelled',False,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,6706941
69666,3,48945,64177,None,'2022-11-05 00:00:00+09:00','2022-11-06 00:00:00+09:00',False,'23:30','11:00',None,None,23,None,'{'name': '【素泊】スペシャル'}',None,'[{'date': '2022-11-04T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 7900}}]',2,None,'cancelled',False,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,6707083
69667,3,48222,64178,None,'2022-11-05 00:00:00+09:00','2022-11-06 00:00:00+09:00',False,'17:00','11:00',None,321,23,None,'{'name': '【素泊】スペシャル'}',None,'[{'date': '2022-11-04T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 7400}}]',1,None,'checked_out',False,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,6707326
69668,3,47463,64179,None,'2022-11-05 00:00:00+09:00','2022-11-06 00:00:00+09:00',False,'15:00','11:00',None,311,24,None,'{'name': '【素泊】'}',None,'[{'date': '2022-11-04T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 7890}}]',2,None,'checked_out',False,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,6708658
69669,3,49140,64180,None,'2022-11-05 00:00:00+09:00','2022-11-06 00:00:00+09:00',False,'21:00','11:00',None,328,23,None,'{'name': '【素泊】スペシャル'}',None,'[{'date': '2022-11-04T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 7900}}]',2,None,'checked_out',False,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,6709087
69670,3,46327,64181,None,'2022-10-26 00:00:00+09:00','2022-10-27 00:00:00+09:00',False,'15:00','11:00',None,308,23,None,'{'name': '【素泊】'}',None,'[{'date': '2022-10-25T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 8300}}]',1,None,'checked_out',False,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,6710116
69671,3,48591,64182,None,'2022-10-27 00:00:00+09:00','2022-10-28 00:00:00+09:00',False,'23:00','11:00',None,305,25,None,'{'name': '【素泊】'}',None,'[{'date': '2022-10-26T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 8600}}]',2,None,'checked_out',False,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,6710295
69672,3,50833,64183,None,'2022-11-10 00:00:00+09:00','2022-11-11 00:00:00+09:00',False,'23:30','11:00',None,307,23,None,'{'name': '【素泊】スペシャル'}',None,'[{'date': '2022-11-09T15:00:00.000Z', 'planTax': {'id': 58, 'name': '課税10%', 'type': 'tax1', 'isActive': True, 'inntoDataId': 17}, 'planRoomTypePricing': {'price': 6400}}]',1,None,'checked_out',False,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,6710635
