id,hotelId,roomTypeId,bookedRoomCount,stoppingRoomCount,totalRoomCount,date,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,capacityRoomType,overnightBookedRoomCount
92,3,24,1,0,8,'2023-02-25 23:59:59.009000+09:00','2023-02-25 23:59:59.068726+09:00','2023-02-25 23:59:59.068726+09:00',None,None,None,None,None,2,1
93,3,23,1,0,16,'2023-02-25 23:59:59.009000+09:00','2023-02-25 23:59:59.068726+09:00','2023-02-25 23:59:59.068726+09:00',None,None,None,None,None,2,8
94,3,25,1,4,31,'2023-02-26 23:59:59.009000+09:00','2023-02-26 23:59:59.069146+09:00','2023-02-26 23:59:59.069146+09:00',None,None,None,None,None,2,8
95,3,23,1,0,16,'2023-02-26 23:59:59.009000+09:00','2023-02-26 23:59:59.069146+09:00','2023-02-26 23:59:59.069146+09:00',None,None,None,None,None,2,6
96,3,25,1,4,31,'2023-02-27 23:59:59.012000+09:00','2023-02-27 23:59:59.072883+09:00','2023-02-27 23:59:59.072883+09:00',None,None,None,None,None,2,6
97,3,24,1,0,8,'2023-02-27 23:59:59.012000+09:00','2023-02-27 23:59:59.072883+09:00','2023-02-27 23:59:59.072883+09:00',None,None,None,None,None,2,1
98,3,23,1,0,16,'2023-02-27 23:59:59.012000+09:00','2023-02-27 23:59:59.072883+09:00','2023-02-27 23:59:59.072883+09:00',None,None,None,None,None,2,9
99,3,25,1,4,31,'2023-02-28 23:59:59.011000+09:00','2023-02-28 23:59:59.056496+09:00','2023-02-28 23:59:59.056496+09:00',None,None,None,None,None,2,4
100,3,23,1,0,16,'2023-02-28 23:59:59.011000+09:00','2023-02-28 23:59:59.056496+09:00','2023-02-28 23:59:59.056496+09:00',None,None,None,None,None,2,10
101,3,25,1,4,31,'2023-03-01 23:59:59.012000+09:00','2023-03-01 23:59:59.057858+09:00','2023-03-01 23:59:59.057858+09:00',None,None,None,None,None,2,5
102,3,24,1,0,8,'2023-03-01 23:59:59.012000+09:00','2023-03-01 23:59:59.057858+09:00','2023-03-01 23:59:59.057858+09:00',None,None,None,None,None,2,1
103,3,23,1,0,16,'2023-03-01 23:59:59.012000+09:00','2023-03-01 23:59:59.057858+09:00','2023-03-01 23:59:59.057858+09:00',None,None,None,None,None,2,12
