id,hotelId,rawData,type,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
226,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 30681, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'TB3Q9H9DE5@0000000041'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
227,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 30680, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'TBZC5GZISS@0000000041'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
228,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-13T00:00:00+09:00', 'roomBookingId': 30660, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2437477293@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
229,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 30531, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2705660017@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
230,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 30516, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'TBZEAD6IH1@0000000041'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
231,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 30506, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'TBW5MW5MNJ@0000000041'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
232,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 30423, 'bookingStatus': 'cancelled', 'autoGeneratedCode': 'RYa0ftyya5@0000000061'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
233,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 30410, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2549819081@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
234,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-13T00:00:00+09:00', 'roomBookingId': 30394, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '3680392185@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
235,3,'{'startDate': '2023-02-11T00:00:00+09:00', 'endDate': '2023-02-12T00:00:00+09:00', 'roomBookingId': 30378, 'bookingStatus': 'cancelled', 'autoGeneratedCode': '2235981478@0000000030'}','room_booking_change_status','2023-02-12 03:00:00.311974+09:00','2023-02-12 03:00:00.311974+09:00',None,None,None,None,None
